7	[297, 3.5673400673400675, 1.6868686868686869, 73.05387205387206]
0	[257, 3.5252918287937742, 1.6848249027237354, 75.05447470817121]
5	[124, 3.4556451612903225, 1.5080645161290323, 41.20967741935484]
9	[104, 3.5961538461538463, 1.6634615384615385, 45.36538461538461]
6	[94, 3.5319148936170213, 1.4042553191489362, 34.297872340425535]
3	[86, 3.808139534883721, 1.5116279069767442, 49.03488372093023]
1	[79, 3.3797468354430378, 1.3924050632911393, 21.11392405063291]
2	[78, 3.1474358974358974, 1.4487179487179487, 26.102564102564102]
4	[62, 3.1451612903225805, 1.4193548387096775, 22.370967741935484]
8	[48, 3.3854166666666665, 1.4791666666666667, 23.4375]
