1	[178, 3.157303370786517, 1.6629213483146068, 37.348314606741575]
3	[153, 3.212418300653595, 1.7450980392156863, 33.1764705882353]
0	[141, 3.5531914893617023, 1.6382978723404256, 22.70921985815603]
6	[123, 3.3821138211382116, 1.6585365853658536, 20.577235772357724]
7	[113, 3.5929203539823007, 1.7699115044247788, 22.168141592920353]
2	[112, 3.5223214285714284, 1.7321428571428572, 31.553571428571427]
8	[87, 3.218390804597701, 1.8850574712643677, 23.7816091954023]
5	[84, 3.4285714285714284, 1.6904761904761905, 27.083333333333332]
9	[81, 3.3395061728395063, 1.7530864197530864, 26.22222222222222]
4	[76, 3.5065789473684212, 1.763157894736842, 22.25]
