2	[446, 3.5493273542600896, 1.663677130044843, 66.01345291479821]
5	[353, 3.5538243626062322, 1.7223796033994334, 73.30028328611898]
8	[295, 3.5796610169491525, 1.5254237288135593, 58.78983050847457]
0	[230, 3.541304347826087, 1.6521739130434783, 62.36521739130435]
9	[219, 3.547945205479452, 1.5159817351598173, 58.32420091324201]
1	[177, 3.5649717514124295, 1.6101694915254237, 72.78531073446328]
3	[127, 3.2874015748031495, 1.5354330708661417, 39.63779527559055]
4	[116, 3.2801724137931036, 1.6724137931034482, 42.11206896551724]
6	[51, 3.5980392156862746, 1.6274509803921569, 25.352941176470587]
7	[32, 3.46875, 1.71875, 29.3125]
