1	[288, 3.6684027777777777, 1.7013888888888888, 80.05902777777777]
7	[211, 3.4739336492890995, 1.4976303317535544, 68.89573459715639]
4	[104, 3.201923076923077, 1.5480769230769231, 45.0]
3	[82, 3.5121951219512195, 1.451219512195122, 53.207317073170735]
2	[69, 3.2681159420289854, 1.5217391304347827, 32.768115942028984]
6	[62, 3.5080645161290325, 1.5, 56.274193548387096]
8	[52, 3.480769230769231, 1.4230769230769231, 37.05769230769231]
0	[50, 3.57, 1.74, 57.86]
5	[40, 3.6375, 1.45, 45.875]
9	[13, 2.923076923076923, 1.7692307692307692, 44.84615384615385]
