0	[210, 3.552380952380952, 1.6714285714285715, 78.24285714285715]
9	[184, 3.4592391304347827, 1.4782608695652173, 46.630434782608695]
1	[162, 3.5771604938271606, 1.654320987654321, 66.05555555555556]
3	[89, 3.6235955056179776, 1.5730337078651686, 91.56179775280899]
5	[86, 3.5755813953488373, 1.5930232558139534, 69.55813953488372]
8	[73, 3.2534246575342465, 1.5068493150684932, 42.054794520547944]
6	[66, 3.3181818181818183, 1.5757575757575757, 42.333333333333336]
2	[56, 3.375, 1.3928571428571428, 28.607142857142858]
7	[26, 3.519230769230769, 1.5384615384615385, 66.92307692307692]
4	[19, 3.5526315789473686, 1.368421052631579, 30.31578947368421]
