8	[276, 3.8731884057971016, 1.934782608695652, 16.768115942028984]
0	[271, 3.857933579335793, 1.8929889298892988, 23.789667896678967]
6	[232, 3.8663793103448274, 1.978448275862069, 19.71551724137931]
9	[221, 3.757918552036199, 1.8506787330316743, 25.39366515837104]
5	[86, 3.7790697674418605, 1.941860465116279, 11.093023255813954]
2	[62, 3.903225806451613, 1.7419354838709677, 16.774193548387096]
1	[53, 3.792452830188679, 1.9056603773584906, 13.18867924528302]
7	[52, 3.9903846153846154, 1.6730769230769231, 11.788461538461538]
3	[30, 3.6666666666666665, 1.9, 6.633333333333334]
4	[23, 3.5869565217391304, 1.9130434782608696, 8.08695652173913]
