1	[134, 3.283582089552239, 1.6417910447761195, 42.82089552238806]
6	[95, 3.3526315789473684, 1.8105263157894738, 42.38947368421053]
4	[79, 3.348101265822785, 1.6329113924050633, 39.721518987341774]
5	[75, 3.1266666666666665, 1.76, 46.50666666666667]
3	[70, 3.2071428571428573, 1.7285714285714286, 31.6]
0	[68, 3.088235294117647, 1.7794117647058822, 43.279411764705884]
8	[50, 3.23, 1.48, 32.02]
9	[47, 3.1808510638297873, 1.702127659574468, 43.46808510638298]
2	[39, 3.1666666666666665, 1.8205128205128205, 43.94871794871795]
7	[35, 3.442857142857143, 1.8285714285714285, 55.371428571428574]
