5	[642, 3.5919003115264796, 1.6386292834890965, 96.05140186915888]
2	[315, 3.46984126984127, 1.6571428571428573, 80.97142857142858]
8	[221, 3.3009049773755654, 1.6108597285067874, 48.171945701357465]
0	[218, 3.4426605504587156, 1.5275229357798166, 79.62844036697248]
3	[188, 3.2632978723404253, 1.4414893617021276, 43.840425531914896]
4	[169, 3.275147928994083, 1.5502958579881656, 53.66863905325444]
9	[163, 3.2392638036809815, 1.3803680981595092, 34.030674846625764]
7	[155, 3.2129032258064516, 1.4129032258064516, 28.44516129032258]
6	[152, 3.2302631578947367, 1.5460526315789473, 69.92763157894737]
1	[60, 3.341666666666667, 1.5, 43.71666666666667]
