1	[668, 3.5508982035928143, 1.4910179640718564, 124.02844311377245]
9	[456, 3.4703947368421053, 1.5021929824561404, 122.6030701754386]
2	[454, 3.392070484581498, 1.394273127753304, 80.10132158590308]
6	[370, 3.4905405405405405, 1.5837837837837838, 113.92972972972973]
5	[361, 3.3545706371191137, 1.3573407202216066, 65.08587257617728]
4	[335, 3.4835820895522387, 1.5582089552238807, 111.2089552238806]
0	[315, 3.3190476190476192, 1.3492063492063493, 77.13015873015873]
7	[276, 3.3532608695652173, 1.3478260869565217, 50.71376811594203]
3	[159, 3.2169811320754715, 1.4654088050314464, 65.20754716981132]
8	[51, 3.2549019607843137, 1.5098039215686274, 43.90196078431372]
