3	[1439, 3.357887421820709, 1.8068102849200833, 61.43015983321751]
7	[1430, 3.3674825174825176, 1.8433566433566433, 58.382517482517486]
0	[956, 3.6051255230125525, 1.8389121338912133, 38.67782426778243]
1	[907, 3.551267916207277, 1.898566703417861, 43.55567805953694]
6	[436, 3.5137614678899083, 1.7591743119266054, 32.924311926605505]
8	[364, 3.269230769230769, 1.9285714285714286, 24.25824175824176]
4	[350, 3.2985714285714285, 1.7142857142857142, 34.177142857142854]
5	[332, 3.549698795180723, 1.786144578313253, 26.424698795180724]
2	[180, 3.408333333333333, 1.6666666666666667, 34.9]
9	[105, 3.433333333333333, 1.6857142857142857, 17.866666666666667]
