b'-5DifC-lAFioAD_DLVgTMQ'	4.9491525423728815	1.0
b'-73xAVllMh_O2nEAcGtbvQ'	3.542372881355932	1.0
b'-9CvNuJ35elp7YwIy4xHDw'	5.1198738170347005	1.0
b'-9yG5SmYxH8BLg4bML8VQg'	4.986486486486487	1.0
b'-D9NFU_SZpp5J7VCSsPp1Q'	4.273480662983426	1.0
b'-IoO4qZCdIQNgj2vCt9hqA'	5.336088154269972	1.0
b'-R_dMb9Z1eBv_FlYZrrKbw'	3.6595744680851063	1.0
b'-jZ1TrvY56HFqmxjbpcU2A'	5.181318681318682	1.0
b'-mst4KdHEmeF3Qm0Xfouhw'	2.6666666666666665	1.0
b'-pV9kWNoA9vyHfM_auYecA'	5.085635359116022	1.0
b'-rLP6lfoQmOO_5Pf2bTkqg'	5.826086956521739	1.0
b'-rg5vXpJgqB23FOQJuqMeg'	7.555555555555555	1.0
b'-uMpSkdN39sz9MbjkauVTQ'	4.394736842105263	1.0
b'-y8Nz-elBXkUYoIoc9AADg'	4.96969696969697	1.0
b'07pQy9z_UNDihUdwrJfjyQ'	7.032258064516129	1.0
b'0ETtpZSd6f7q_-o-7gutPg'	4.454794520547945	1.0
b'0Rhr6lMMv6SyBgENN6h9Bg'	3.75	1.0
b'0SECDod-_lEXcWezbwUxzw'	5.994285714285715	1.0
b'0au_HRvOYfhQyvdvjZdzUg'	6.0	1.0
b'0qh5uSAUDcVzC6hoPsAPvA'	5.94	1.0
b'0vyh1UE4HH8ayZtXNxIfeQ'	5.119241192411924	1.0
b'0zxn5cFZaH3F_0UsiI0SjQ'	4.629834254143646	1.0
b'1-wuGggkiX5rGS6e2qTP7Q'	5.37292817679558	1.0
b'15LVDu1_v97JEx-g97wnfA'	4.5396825396825395	1.0
b'15LjiMzeVbTpQgaFBWO32A'	4.09771986970684	1.0
b'162qe4ekI6ylZg_EYp3MPQ'	2.5	1.0
b'1AbuJiCPu-mOJUPjQIpuLw'	4.771428571428571	1.0
b'1BQzXcXFxR6MlVIYmG93kw'	5.2967032967032965	1.0
b'1GGLx6k4SgM-MykB5TTiJg'	5.117647058823529	1.0
b'1No65MMinOXLxgEtqpV3vg'	4.0673076923076925	1.0
b'1Os0g2rh6I50ZIXEZSaNkA'	6.777158774373259	1.0
b'1PUPTbQRums97s6yfTnA5A'	6.583333333333333	1.0
b'1ZkcNwQpIESg8LuAHzye6Q'	6.779816513761468	1.0
b'1a3Pkkwb7yB_vmxgKwmqXw'	3.997191011235955	1.0
b'1bYtt80iwckHNPJyIl4qQg'	3.6363636363636362	1.0
b'1k3toqehw9_rOdLjsoZh-Q'	5.384615384615385	1.0
b'1lujZNJqP5s966L0PRmRrg'	4.85	1.0
b'1pOqoAixFXrVci0kSZnbzQ'	2.0	1.0
b'1qVF1_pSuk88hrTek6bPeg'	3.508771929824561	1.0
b'1qVtBw0UIcWGGUQXWjMgug'	5.196078431372549	1.0
b'1ru9ZnIcSXKtD-jQoxLzNg'	5.241379310344827	1.0
b'1ti16CM6jlDt66P5PDqyUg'	3.272727272727273	1.0
